Category,500-1_BF-Online-Sharing-Oblivious-equal_0,500-1_BF-Online-Sharing-Oblivious-equal_1,500-1_BFS-Online-Sharing-equal_0,500-1_BFS-Online-Sharing-equal_1,500-1_BFS_Reallocation_equal_0,500-1_BFS_Reallocation_equal_1,500-1_FF-Online-Sharing-Oblivious_0,500-1_FF-Online-Sharing-Oblivious_1,500-1_FFS-Online-Sharing_0,500-1_FFS-Online-Sharing_1,500-1_FFS_Reallocation_0,500-1_FFS_Reallocation_1,500-1_WF-Online-Sharing-Oblivious-equal_0,500-1_WF-Online-Sharing-Oblivious-equal_1,500-1_WFS-Online-Sharing-equal_0,500-1_WFS-Online-Sharing-equal_1,500-1_WFS_Reallocation_equal_0,500-1_WFS_Reallocation_equal_1,500-2_BF-Online-Sharing-Oblivious-equal_0,500-2_BF-Online-Sharing-Oblivious-equal_1,500-2_BFS-Online-Sharing-equal_0,500-2_BFS-Online-Sharing-equal_1,500-2_BFS_Reallocation_equal_0,500-2_BFS_Reallocation_equal_1,500-2_FF-Online-Sharing-Oblivious_0,500-2_FF-Online-Sharing-Oblivious_1,500-2_FFS-Online-Sharing_0,500-2_FFS-Online-Sharing_1,500-2_FFS_Reallocation_0,500-2_FFS_Reallocation_1,500-2_WF-Online-Sharing-Oblivious-equal_0,500-2_WF-Online-Sharing-Oblivious-equal_1,500-2_WFS-Online-Sharing-equal_0,500-2_WFS-Online-Sharing-equal_1,500-2_WFS_Reallocation_equal_0,500-2_WFS_Reallocation_equal_1,500-3_BF-Online-Sharing-Oblivious-equal_0,500-3_BF-Online-Sharing-Oblivious-equal_1,500-3_BFS-Online-Sharing-equal_0,500-3_BFS-Online-Sharing-equal_1,500-3_BFS_Reallocation_equal_0,500-3_BFS_Reallocation_equal_1,500-3_FF-Online-Sharing-Oblivious_0,500-3_FF-Online-Sharing-Oblivious_1,500-3_FFS-Online-Sharing_0,500-3_FFS-Online-Sharing_1,500-3_FFS_Reallocation_0,500-3_FFS_Reallocation_1,500-3_WF-Online-Sharing-Oblivious-equal_0,500-3_WF-Online-Sharing-Oblivious-equal_1,500-3_WFS-Online-Sharing-equal_0,500-3_WFS-Online-Sharing-equal_1,500-3_WFS_Reallocation_equal_0,500-3_WFS_Reallocation_equal_1,sum_BFS_reallocation,avg_BFS_reallocation,std_avg_BFS_reallocation,sum_FFS_reallocation,avg_FFS_reallocation,std_avg_FFS_reallocation,sum_WFS_reallocation,avg_WFS_reallocation,std_avg_WFS_reallocation,sum_BF,sum_FF,sum_WF,x_over_y_BF_reallocation,x_over_y_FF_reallocation,x_over_y_WF_reallocation,t1_BF_reallocation,t2_BF_reallocation,t3_BF_reallocation,t_avg_BF_reallocation,t_std_BF_reallocation,t1_FF_reallocation,t2_FF_reallocation,t3_FF_reallocation,t_avg_FF_reallocation,t_std_FF_reallocation,t1_WF_reallocation,t2_WF_reallocation,t3_WF_reallocation,t_avg_WF_reallocation,t_std_WF_reallocation
1.low-sharing-low-demand,13.0,140777.19999999963,13.0,32075.099999999955,8.0,19872.0,12.0,140777.20000000016,12.0,27886.99999999997,8.0,19872.0,76.0,140777.20000000065,40.0,56331.89999999973,8.0,19872.0,12.0,105879.59999999996,12.0,31646.900000000023,7.0,18909.6,11.0,105879.59999999998,11.0,27664.50000000002,7.0,18902.9,66.0,105879.59999999976,42.0,52295.49999999996,7.0,18931.1,15.0,79000.40000000001,15.0,34735.599999999984,8.0,20741.5,13.0,79000.40000000004,13.0,30425.500000000007,8.0,20708.3,56.0,79000.39999999966,38.0,43096.99999999994,8.0,20700.3,23.0,7.666666666666667,0.5773502691896258,23.0,7.666666666666667,0.5773502691896258,23.0,7.666666666666667,0.5773502691896258,40.0,36.0,198.0,0.575,0.6388888888888888,0.11616161616161616,0.38461538461538464,0.4166666666666667,0.4666666666666667,0.42264957264957265,0.04135153678601291,0.3333333333333333,0.36363636363636365,0.38461538461538464,0.3605283605283605,0.025781911457711068,0.8947368421052632,0.8939393939393939,0.8571428571428571,0.8819396977291714,0.02147839514935008
2.low-sharing-medium-demand,26.0,140777.19999999998,26.0,58996.79999999973,16.0,38922.0,24.0,140777.20000000024,24.0,54977.29999999976,16.0,38982.9,77.0,140777.20000000033,54.0,75324.89999999985,16.0,38956.7,25.0,105879.59999999987,25.0,54782.299999999945,15.0,38416.5,23.0,105879.59999999971,23.0,51427.10000000001,15.0,38420.7,67.0,105879.6,51.0,64057.99999999993,15.0,38388.6,27.0,79000.39999999989,27.0,49004.09999999987,18.0,39058.3,26.0,79000.39999999976,26.0,47379.699999999895,18.0,38851.8,61.0,79000.3999999998,51.0,54110.39999999973,18.0,38986.1,49.0,16.333333333333332,1.5275252316519465,49.0,16.333333333333332,1.5275252316519465,49.0,16.333333333333332,1.5275252316519465,78.0,73.0,205.0,0.6282051282051282,0.6712328767123288,0.23902439024390243,0.38461538461538464,0.4,0.3333333333333333,0.37264957264957266,0.034906970695148976,0.3333333333333333,0.34782608695652173,0.3076923076923077,0.3296172426607209,0.020323313138424833,0.7922077922077922,0.7761194029850746,0.7049180327868853,0.757748409326584,0.04645423103378401
3.low-sharing-high-demand,39.0,140777.20000000016,39.0,78505.19999999985,28.0,63109.8,39.0,140777.2000000003,39.0,77151.0999999999,28.0,63123.8,80.0,140777.2000000005,63.0,91143.1000000002,28.0,63219.8,39.0,105879.59999999992,39.0,69479.19999999995,28.0,59366.3,38.0,105879.59999999996,38.0,67651.0,28.0,59420.7,71.0,105879.59999999985,63.0,75449.99999999999,28.0,59415.8,40.0,79000.3999999999,41.0,58268.49999999979,29.0,51385.2,40.0,79000.39999999988,40.0,57805.79999999971,29.0,51616.8,65.0,79000.3999999997,60.0,60702.89999999974,29.0,51900.7,85.0,28.333333333333332,0.5773502691896258,85.0,28.333333333333332,0.5773502691896258,85.0,28.333333333333332,0.5773502691896258,118.0,117.0,216.0,0.7203389830508474,0.7264957264957265,0.39351851851851855,0.28205128205128205,0.28205128205128205,0.275,0.2797008547008547,0.004071059590439655,0.28205128205128205,0.2631578947368421,0.275,0.2734030589293747,0.009547391614501187,0.65,0.6056338028169014,0.5538461538461539,0.6031599855543518,0.04812463362385988
4.medium-sharing-low-demand,20.0,279580.59999999974,13.0,32291.999999999956,8.0,19872.0,18.0,279580.59999999974,12.0,28832.39999999996,8.0,19872.0,120.0,279580.60000000295,32.0,60441.49999999972,8.0,19872.0,19.0,268079.1000000005,12.0,32500.800000000032,7.0,18958.8,17.0,268079.0999999998,11.0,29503.90000000002,7.0,18958.8,120.0,268079.10000000027,34.0,65127.39999999996,7.0,18958.8,17.0,235100.7000000002,15.0,39530.69999999996,9.0,23879.7,15.0,235100.69999999992,13.0,34408.400000000016,9.0,23879.7,105.0,235100.7000000022,40.0,70493.2999999997,9.0,23879.7,24.0,8.0,1.0,24.0,8.0,1.0,24.0,8.0,1.0,56.0,50.0,345.0,0.42857142857142855,0.48,0.06956521739130435,0.6,0.631578947368421,0.47058823529411764,0.5673890608875128,0.08530596319072055,0.5555555555555556,0.5882352941176471,0.4,0.5145969498910675,0.10058000308895175,0.9333333333333333,0.9416666666666667,0.9142857142857143,0.9297619047619047,0.01403550728875191
5.medium-sharing-medium-demand,26.0,279580.6000000006,25.0,62052.79999999969,18.0,44712.0,25.0,279580.6,24.0,59424.09999999971,18.0,44712.0,120.0,279580.600000003,49.0,94931.70000000016,18.0,44712.0,25.0,268079.10000000056,25.0,66634.7,17.0,46042.8,24.0,268079.0999999999,23.0,61696.09999999998,17.0,46042.8,120.0,268079.10000000003,52.0,101227.09999999971,17.0,46042.8,27.0,235100.6999999996,27.0,70524.59999999971,18.0,47490.3,26.0,235100.7000000001,26.0,67661.49999999972,18.0,47501.0,107.0,235100.7000000027,54.0,99456.19999999968,18.0,47523.5,53.0,17.666666666666668,0.5773502691896258,53.0,17.666666666666668,0.5773502691896258,53.0,17.666666666666668,0.5773502691896258,78.0,75.0,347.0,0.6794871794871795,0.7066666666666667,0.15273775216138327,0.3076923076923077,0.32,0.3333333333333333,0.3203418803418803,0.012823931168212668,0.28,0.2916666666666667,0.3076923076923077,0.2931196581196582,0.013903214177060298,0.85,0.8583333333333333,0.8317757009345794,0.8467030114226376,0.013582325276486309
6.medium-sharing-high-demand,40.0,279580.5999999999,40.0,96000.1000000002,28.0,69476.9,39.0,279580.6000000001,39.0,94085.00000000016,28.0,69456.9,120.0,279580.60000000324,63.0,127003.50000000096,28.0,69434.7,39.0,268079.0999999997,39.0,100605.09999999971,28.0,75188.5,38.0,268079.09999999945,38.0,98192.99999999972,28.0,75153.9,120.0,268079.1000000009,64.0,130883.59999999969,28.0,75104.3,40.0,235100.70000000016,40.0,99709.59999999971,29.0,74907.2,40.0,235100.70000000004,40.0,98879.99999999972,29.0,75014.6,112.0,235100.7000000021,66.0,126407.7999999998,29.0,74843.9,85.0,28.333333333333332,0.5773502691896258,85.0,28.333333333333332,0.5773502691896258,85.0,28.333333333333332,0.5773502691896258,119.0,117.0,352.0,0.7142857142857143,0.7264957264957265,0.24147727272727273,0.3,0.28205128205128205,0.275,0.28568376068376067,0.012889770198167226,0.28205128205128205,0.2631578947368421,0.275,0.2734030589293747,0.009547391614501187,0.7666666666666667,0.7666666666666667,0.7410714285714286,0.7581349206349207,0.01477741760425829
7.high-sharing-low-demand,32.0,419969.7000000001,13.0,32291.999999999956,8.0,19872.0,28.0,419969.6999999999,12.0,29569.89999999997,8.0,19872.0,120.0,419969.7000000008,18.0,43072.89999999986,8.0,19872.0,30.0,423791.3999999996,12.0,32500.800000000032,7.0,18958.8,28.0,423791.4000000004,11.0,29792.400000000027,7.0,18958.8,120.0,423791.40000000206,22.0,53516.29999999993,7.0,18958.8,33.0,443237.0999999999,15.0,39799.49999999996,9.0,23879.7,30.0,443237.10000000056,13.0,34492.90000000001,9.0,23879.7,120.0,443237.10000000393,22.0,54424.59999999981,9.0,23879.7,24.0,8.0,1.0,24.0,8.0,1.0,24.0,8.0,1.0,95.0,86.0,360.0,0.25263157894736843,0.27906976744186046,0.06666666666666667,0.75,0.7666666666666667,0.7272727272727273,0.7479797979797981,0.019774517121668594,0.7142857142857143,0.75,0.7,0.7214285714285715,0.025753937681885653,0.9333333333333333,0.9416666666666667,0.925,0.9333333333333332,0.008333333333333304
8.high-sharing-medium-demand,32.0,419969.6999999992,26.0,64398.79999999968,23.0,57132.0,30.0,419969.6999999999,24.0,59615.99999999972,23.0,57132.0,120.0,419969.700000001,32.0,77772.89999999989,23.0,57132.0,30.0,423791.4000000003,25.0,67120.59999999999,24.0,65001.6,29.0,423791.4000000004,23.0,62293.199999999975,24.0,65001.6,120.0,423791.4000000029,37.0,91017.69999999984,23.0,62293.2,34.0,443237.0999999999,27.0,71639.09999999967,25.0,66332.5,32.0,443237.10000000056,26.0,68985.79999999967,25.0,66332.5,120.0,443237.1000000034,37.0,93616.89999999976,25.0,66332.5,72.0,24.0,1.0,72.0,24.0,1.0,71.0,23.666666666666668,1.1547005383792515,96.0,91.0,360.0,0.75,0.7912087912087912,0.19722222222222222,0.28125,0.2,0.2647058823529412,0.24865196078431373,0.042938175593505726,0.23333333333333334,0.1724137931034483,0.21875,0.2081657088122605,0.0318090869157744,0.8083333333333333,0.8083333333333333,0.7916666666666666,0.8027777777777777,0.009622504486493794
9.high-sharing-high-demand,40.0,419969.6999999992,40.0,99148.30000000024,30.0,74520.0,40.0,419969.699999999,39.0,96804.20000000022,30.0,74520.0,120.0,419969.7000000016,52.0,125563.60000000072,30.0,74520.0,39.0,423791.3999999997,39.0,105438.5999999997,29.0,78543.6,39.0,423791.3999999993,38.0,102562.1999999997,29.0,78543.6,120.0,423791.4000000018,56.0,141116.89999999962,29.0,78543.6,41.0,443237.1,40.0,106102.79999999973,30.0,79599.0,41.0,443237.0999999997,40.0,106017.39999999972,30.0,79599.0,120.0,443237.1000000042,56.0,141813.40000000014,30.0,79599.0,89.0,29.666666666666668,0.5773502691896258,89.0,29.666666666666668,0.5773502691896258,89.0,29.666666666666668,0.5773502691896258,120.0,120.0,360.0,0.7416666666666667,0.7416666666666667,0.24722222222222223,0.25,0.2564102564102564,0.2682926829268293,0.2582343131123619,0.009281753568413133,0.25,0.2564102564102564,0.2682926829268293,0.2582343131123619,0.009281753568413133,0.75,0.7583333333333333,0.75,0.7527777777777778,0.004811252243246865
