"1","1430.9999999999993"
"2","2707.2999999999984"
"3","3978.2999999999984"
"4","5596.900000000001"
"5","7051.5"
"6","8539.700000000006"
"7","9638.8"
"7","10805.6"
"8","12096.100000000002"
"9","13524.1"
"10","14549.8"
"11","15697.3"
"11","17282.899999999994"
"12","18561.299999999996"
"12","20172.30000000001"
"13","21484.50000000002"
"14","22944.300000000025"
"15","24098.100000000024"
"16","25136.90000000003"
"16","26683.00000000003"
"17","28039.100000000035"
"18","29492.000000000036"
"19","30909.200000000033"
"20","32238.60000000003"
"21","33364.60000000003"
"22","34718.00000000005"
"22","36047.00000000005"
"23","37550.60000000006"
"24","38978.500000000044"
"25","40422.80000000006"
"26","41703.300000000076"
"25","40259.00000000006"
"26","41568.600000000035"
"26","42896.90000000002"
"27","44161.70000000002"
"28","45626.000000000015"
"29","47157.90000000002"
"30","48476.90000000004"
"31","49705.000000000044"
"32","50930.200000000026"
"33","52057.10000000002"
"33","53450.00000000003"
"34","54770.700000000055"
"35","56141.90000000007"
"36","57353.700000000055"
"37","58820.70000000005"
"37","57542.30000000003"
"36","56114.300000000054"
"36","57253.300000000076"
"36","58406.90000000007"
"36","59673.400000000074"
"37","60995.8000000001"
"38","62220.00000000009"
"38","60673.90000000008"
"38","62093.80000000007"
"39","63236.00000000006"
"38","61971.20000000007"
"39","63473.90000000005"
"40","64975.50000000004"
"40","66263.00000000004"
"40","67748.79999999996"
"40","68863.70000000001"
"41","70212.69999999997"
"42","71521.49999999996"
"43","72930.59999999993"
"44","74232.89999999995"
"44","75700.39999999992"
"45","77066.19999999992"
"46","78470.8999999999"
"46","79949.59999999996"
"47","81391.79999999996"
"48","82834.59999999996"
"49","83993.39999999994"
"50","85224.89999999989"
"50","86716.99999999984"
"50","88017.79999999986"
"51","89228.69999999984"
"51","90456.39999999982"
"52","91888.79999999983"
"51","90446.59999999983"
"51","91933.79999999986"
"51","93258.09999999986"
"51","94629.89999999988"
"52","95890.49999999987"
"53","96903.29999999984"
"54","98313.29999999981"
"53","96920.39999999986"
"53","98194.59999999989"
"53","99468.09999999986"
"53","100660.39999999988"
"54","102086.59999999987"
"55","103451.99999999987"
"56","104558.19999999985"
"57","105699.99999999984"
"57","104268.99999999984"
"58","105561.29999999983"
"58","106880.69999999982"
"58","108168.99999999981"
"59","109642.59999999979"
"60","111014.99999999977"
"60","112226.89999999976"
"61","113774.59999999969"
"62","115037.99999999967"
"63","116242.89999999966"
"63","117317.39999999969"
"62","116175.19999999966"
"63","117697.49999999967"
"64","119055.29999999964"
"65","120482.29999999962"
"65","121749.19999999966"
"66","123442.09999999966"
"66","124880.29999999962"
"66","123560.89999999964"
"67","124598.59999999961"
"68","125932.9999999996"
"68","127282.89999999962"
"68","128567.0999999996"
"69","129926.89999999956"
"69","131329.19999999958"
"69","132620.19999999963"
"70","134116.99999999965"
"70","135536.0999999996"
"70","134226.49999999965"
"71","135484.79999999955"
"72","136751.8999999996"
"72","135585.09999999954"
"72","136830.09999999966"
"73","138514.49999999956"
"73","139946.4999999996"
"73","141451.3999999995"
"73","143003.39999999956"
"74","144189.69999999966"
"74","142958.19999999946"
"74","144323.29999999958"
"74","145651.5999999995"
"74","147140.79999999955"
"75","148643.69999999946"
"75","149854.49999999948"
"75","151159.39999999938"
"75","152473.8999999994"
"76","153636.29999999946"
"76","152227.19999999946"
"76","153541.8999999994"
"75","152330.99999999948"
"76","153420.9999999994"
"76","152228.6999999995"
"77","153674.9999999994"
"77","152398.69999999952"
"78","153748.2999999994"
"78","154946.99999999945"
"79","156272.69999999946"
"79","154914.89999999944"
"80","156233.6999999995"
"80","154945.39999999947"
"80","156388.9999999995"
"80","157731.8999999995"
"79","156569.49999999945"
"80","157896.99999999962"
"80","156588.19999999963"
"81","157873.49999999965"
"81","159340.4999999997"
"81","160559.69999999963"
"81","161743.7999999997"
"82","163041.29999999976"
"81","161774.79999999973"
"81","162922.69999999972"
"81","164480.59999999977"
"81","162988.49999999977"
"82","164326.69999999972"
"83","165749.9999999997"
"83","167022.4999999998"
"83","168379.79999999976"
"83","167112.8999999998"
"82","165774.69999999984"
"83","167058.19999999984"
"84","168469.79999999976"
"84","169797.09999999992"
"83","168682.1999999998"
"83","167394.6999999998"
"82","166381.89999999985"
"83","167643.2999999998"
"83","165958.89999999982"
"83","164494.5999999997"
"82","163468.8999999996"
"83","164960.0999999996"
"84","166607.39999999962"
"84","168057.69999999972"
"84","169603.39999999964"
"84","170743.89999999962"
"84","169533.09999999977"
"84","168248.89999999976"
"85","169619.49999999968"
"85","170997.99999999974"
"85","172376.59999999971"
"86","173717.6999999998"
"86","175028.69999999984"
"86","176451.89999999988"
"86","177695.49999999983"
"85","176376.6999999998"
"85","177610.99999999985"
"86","179091.89999999988"
"86","180566.79999999984"
"86","182002.4999999998"
"87","182875.2999999998"
"87","181510.19999999987"
"87","180131.59999999983"
"86","178870.19999999987"
"86","180259.3999999998"
"87","181753.59999999974"
"86","180468.29999999976"
"86","181590.59999999971"
"86","182847.69999999978"
"86","181535.49999999974"
"86","182750.79999999976"
"86","183913.29999999967"
"87","185253.89999999973"
"86","184215.0999999997"
"85","183061.29999999967"
"85","181705.1999999996"
"86","183034.29999999955"
"86","184398.79999999955"
"87","185724.09999999957"
"88","187025.39999999962"
"88","188508.19999999955"
"88","187005.4999999996"
"88","188362.89999999947"
"89","189822.5999999995"
"89","191177.3999999994"
"89","192552.4999999995"
"90","193587.79999999944"
"91","194899.69999999955"
"91","196230.59999999957"
"91","194916.09999999966"
"91","196378.79999999978"
