File,Sum of Second Column
Local_search_BFS_Execution_time_sharing_alpha_LSLD.csv,1070.577582
Local_search_BFS_Execution_time_sharing_alpha_LSMD.csv,1077.672766
Local_search_BFS_Execution_time_sharing_alpha_LSHD.csv,1043.258377
Local_search_BFS_Execution_time_sharing_alpha_MSLD.csv,1116.638509
Local_search_BFS_Execution_time_sharing_alpha_MSMD.csv,1202.784478
Local_search_BFS_Execution_time_sharing_alpha_MSHD.csv,1264.03543
Local_search_BFS_Execution_time_sharing_alpha_HSLD.csv,1114.081647
Local_search_BFS_Execution_time_sharing_alpha_HSMD.csv,1195.598081
Local_search_BFS_Execution_time_sharing_alpha_HSHD.csv,1293.46652
Local_search_BFS_Execution_time_sharing_beta_LSLD.csv,1123.689856
Local_search_BFS_Execution_time_sharing_beta_LSMD.csv,1217.810961
Local_search_BFS_Execution_time_sharing_beta_LSHD.csv,1423.814792
Local_search_BFS_Execution_time_sharing_beta_MSLD.csv,1450.343297
Local_search_BFS_Execution_time_sharing_beta_MSMD.csv,1189.008628
Local_search_BFS_Execution_time_sharing_beta_MSHD.csv,1335.749171
Local_search_BFS_Execution_time_sharing_beta_HSLD.csv,1103.695374
Local_search_BFS_Execution_time_sharing_beta_HSMD.csv,1344.413299
Local_search_BFS_Execution_time_sharing_beta_HSHD.csv,1016.014155
Local_search_BFS_Execution_time_sharing_equal_LSLD.csv,1239.148677
Local_search_BFS_Execution_time_sharing_equal_LSMD.csv,1321.550548
Local_search_BFS_Execution_time_sharing_equal_LSHD.csv,1240.545495
Local_search_BFS_Execution_time_sharing_equal_MSLD.csv,1324.768839
Local_search_BFS_Execution_time_sharing_equal_MSMD.csv,1339.321459
Local_search_BFS_Execution_time_sharing_equal_MSHD.csv,1233.492689
Local_search_BFS_Execution_time_sharing_equal_HSLD.csv,1227.880539
Local_search_BFS_Execution_time_sharing_equal_HSMD.csv,1360.547224
Local_search_BFS_Execution_time_sharing_equal_HSHD.csv,1361.750808
Local_search_FFS_Execution_time_sharing_LSLD.csv,1177.196964
Local_search_FFS_Execution_time_sharing_LSMD.csv,1166.344151
Local_search_FFS_Execution_time_sharing_LSHD.csv,1107.004305
Local_search_FFS_Execution_time_sharing_MSLD.csv,1166.585993
Local_search_FFS_Execution_time_sharing_MSMD.csv,1173.506952
Local_search_FFS_Execution_time_sharing_MSHD.csv,1291.306172
Local_search_FFS_Execution_time_sharing_HSLD.csv,1135.62428
Local_search_FFS_Execution_time_sharing_HSMD.csv,1153.428651
Local_search_FFS_Execution_time_sharing_HSHD.csv,1236.382248
Local_search_WFS_Execution_time_sharing_alpha_LSLD.csv,1126.592234
Local_search_WFS_Execution_time_sharing_alpha_LSMD.csv,1326.658749
Local_search_WFS_Execution_time_sharing_alpha_LSHD.csv,1033.653057
Local_search_WFS_Execution_time_sharing_alpha_MSLD.csv,1373.201623
Local_search_WFS_Execution_time_sharing_alpha_MSMD.csv,1462.490698
Local_search_WFS_Execution_time_sharing_alpha_MSHD.csv,1450.475474
Local_search_WFS_Execution_time_sharing_alpha_HSLD.csv,1001.69352
Local_search_WFS_Execution_time_sharing_alpha_HSMD.csv,1357.939694
Local_search_WFS_Execution_time_sharing_alpha_HSHD.csv,1145.925964
Local_search_WFS_Execution_time_sharing_beta_LSLD.csv,1497.219332
Local_search_WFS_Execution_time_sharing_beta_LSMD.csv,1121.620868
Local_search_WFS_Execution_time_sharing_beta_LSHD.csv,1476.083919
Local_search_WFS_Execution_time_sharing_beta_MSLD.csv,1332.052683
Local_search_WFS_Execution_time_sharing_beta_MSMD.csv,1143.324972
Local_search_WFS_Execution_time_sharing_beta_MSHD.csv,1042.757383
Local_search_WFS_Execution_time_sharing_beta_HSLD.csv,1428.457408
Local_search_WFS_Execution_time_sharing_beta_HSMD.csv,1354.006108
Local_search_WFS_Execution_time_sharing_beta_HSHD.csv,1054.729674
Local_search_Local_search_WFS_Execution_time_sharing_equal_LSLD.csv,1478.541381
Local_search_Local_search_WFS_Execution_time_sharing_equal_LSMD.csv,1314.846233
Local_search_Local_search_WFS_Execution_time_sharing_equal_LSHD.csv,1370.118484
Local_search_Local_search_WFS_Execution_time_sharing_equal_MSLD.csv,1498.963726
Local_search_Local_search_WFS_Execution_time_sharing_equal_MSMD.csv,1312.754849
Local_search_Local_search_WFS_Execution_time_sharing_equal_MSHD.csv,1408.913704
Local_search_Local_search_WFS_Execution_time_sharing_equal_HSLD.csv,1329.309122
Local_search_Local_search_WFS_Execution_time_sharing_equal_HSMD.csv,1392.495167
Local_search_Local_search_WFS_Execution_time_sharing_equal_HSHD.csv,1400.739581
Local_search_WFS_Execution_time_sharing_equal_LSLD.csv,1486.81657
Local_search_WFS_Execution_time_sharing_equal_LSMD.csv,1480.832214
Local_search_WFS_Execution_time_sharing_equal_LSHD.csv,1379.404477
Local_search_WFS_Execution_time_sharing_equal_MSLD.csv,1313.294012
Local_search_WFS_Execution_time_sharing_equal_MSMD.csv,1468.866483
Local_search_WFS_Execution_time_sharing_equal_MSHD.csv,1346.104073
Local_search_WFS_Execution_time_sharing_equal_HSLD.csv,1436.047168
Local_search_WFS_Execution_time_sharing_equal_HSMD.csv,1432.513244
Local_search_WFS_Execution_time_sharing_equal_HSHD.csv,1435.739335
