Scenario,DSA-FF,DSA-BF,DSA-WF
LSLD,1.6995066174113984,1.8413795610495727,1.9246333202793953
LSMD,1.8589614338935356,1.8776698606197249,2.0366859121204204
LSHD,1.8277653382854286,1.9199698680617874,1.994817722981677
MSLD,1.7353791288482472,1.7714150852952546,1.8173917998957625
MSMD,1.7797088697098706,1.8154109724300478,1.9438171070724546
MSHD,1.7760354294899798,1.8180066129086572,1.768152885828343
HSLD,1.6775049371255155,1.7158484844665034,1.7759234000106365
HSMD,1.7499025145511873,1.7426907395885178,1.7490517327359936
HSHD,1.7088314306013888,1.6889317803420771,1.7340716704931498
