File,Sum of Second Column
Local_search_BFS_Execution_time_sharing_alpha_LSLD.csv,1080.7344401850737
Local_search_BFS_Execution_time_sharing_alpha_LSMD.csv,1476.4868940879678
Local_search_BFS_Execution_time_sharing_alpha_LSHD.csv,1240.1417387930358
Local_search_BFS_Execution_time_sharing_alpha_MSLD.csv,1452.9955150131686
Local_search_BFS_Execution_time_sharing_alpha_MSMD.csv,1036.5825765594486
Local_search_BFS_Execution_time_sharing_alpha_MSHD.csv,1407.0009482277974
Local_search_BFS_Execution_time_sharing_alpha_HSLD.csv,1194.342581672435
Local_search_BFS_Execution_time_sharing_alpha_HSMD.csv,1229.519507228831
Local_search_BFS_Execution_time_sharing_alpha_HSHD.csv,1263.0906829194655
Local_search_BFS_Execution_time_sharing_beta_LSLD.csv,1022.7352095645396
Local_search_BFS_Execution_time_sharing_beta_LSMD.csv,1319.3895797379837
Local_search_BFS_Execution_time_sharing_beta_LSHD.csv,1429.5577091517428
Local_search_BFS_Execution_time_sharing_beta_MSLD.csv,1206.9862704184268
Local_search_BFS_Execution_time_sharing_beta_MSMD.csv,1042.1704481823476
Local_search_BFS_Execution_time_sharing_beta_MSHD.csv,1349.855985961643
Local_search_BFS_Execution_time_sharing_beta_HSLD.csv,1476.5609426670876
Local_search_BFS_Execution_time_sharing_beta_HSMD.csv,1162.5818819936471
Local_search_BFS_Execution_time_sharing_beta_HSHD.csv,1219.336736337686
Local_search_BFS_Execution_time_sharing_equal_LSLD.csv,1286.8552825892948
Local_search_BFS_Execution_time_sharing_equal_LSMD.csv,1393.1166080865432
Local_search_BFS_Execution_time_sharing_equal_LSHD.csv,1230.3569841480412
Local_search_BFS_Execution_time_sharing_equal_MSLD.csv,1492.052195253974
Local_search_BFS_Execution_time_sharing_equal_MSMD.csv,1191.6558417914673
Local_search_BFS_Execution_time_sharing_equal_MSHD.csv,1277.0554425631076
Local_search_BFS_Execution_time_sharing_equal_HSLD.csv,1061.6876076705246
Local_search_BFS_Execution_time_sharing_equal_HSMD.csv,1078.881869492099
Local_search_BFS_Execution_time_sharing_equal_HSHD.csv,1345.336480575133
Local_search_FFS_Execution_time_sharing_LSLD.csv,1084.7526067166282
Local_search_FFS_Execution_time_sharing_LSMD.csv,1144.438393539652
Local_search_FFS_Execution_time_sharing_LSHD.csv,1460.8789230565656
Local_search_FFS_Execution_time_sharing_MSLD.csv,1324.5690030561227
Local_search_FFS_Execution_time_sharing_MSMD.csv,1373.8895163718453
Local_search_FFS_Execution_time_sharing_MSHD.csv,1323.9629758499764
Local_search_FFS_Execution_time_sharing_HSLD.csv,1426.5185362541129
Local_search_FFS_Execution_time_sharing_HSMD.csv,1299.6627778799964
Local_search_FFS_Execution_time_sharing_HSHD.csv,1396.842119120516
Local_search_WFS_Execution_time_sharing_alpha_LSLD.csv,1361.442748932836
Local_search_WFS_Execution_time_sharing_alpha_LSMD.csv,1468.6289211679093
Local_search_WFS_Execution_time_sharing_alpha_LSHD.csv,1416.1947475260315
Local_search_WFS_Execution_time_sharing_alpha_MSLD.csv,1430.2146587070351
Local_search_WFS_Execution_time_sharing_alpha_MSMD.csv,1084.0663052868304
Local_search_WFS_Execution_time_sharing_alpha_MSHD.csv,1382.379028028029
Local_search_WFS_Execution_time_sharing_alpha_HSLD.csv,1189.237291475197
Local_search_WFS_Execution_time_sharing_alpha_HSMD.csv,1279.3709347318822
Local_search_WFS_Execution_time_sharing_alpha_HSHD.csv,1188.9498542536417
Local_search_WFS_Execution_time_sharing_beta_LSLD.csv,1146.5291235070183
Local_search_WFS_Execution_time_sharing_beta_LSMD.csv,1360.4005327541604
Local_search_WFS_Execution_time_sharing_beta_LSHD.csv,1343.248758768649
Local_search_WFS_Execution_time_sharing_beta_MSLD.csv,1414.307777430508
Local_search_WFS_Execution_time_sharing_beta_MSMD.csv,1313.164586976115
Local_search_WFS_Execution_time_sharing_beta_MSHD.csv,1118.3389724685508
Local_search_WFS_Execution_time_sharing_beta_HSLD.csv,1149.3024683156495
Local_search_WFS_Execution_time_sharing_beta_HSMD.csv,1333.8763096489372
Local_search_WFS_Execution_time_sharing_beta_HSHD.csv,1399.0084206787838
Local_search_WFS_Execution_time_sharing_equal_LSLD.csv,1405.7145392532047
Local_search_WFS_Execution_time_sharing_equal_LSMD.csv,1088.341672413549
Local_search_WFS_Execution_time_sharing_equal_LSHD.csv,1343.8235889207049
Local_search_WFS_Execution_time_sharing_equal_MSLD.csv,1476.184375209727
Local_search_WFS_Execution_time_sharing_equal_MSMD.csv,1288.166363271179
Local_search_WFS_Execution_time_sharing_equal_MSHD.csv,1140.317869009858
Local_search_WFS_Execution_time_sharing_equal_HSLD.csv,1275.316651986661
Local_search_WFS_Execution_time_sharing_equal_HSMD.csv,1444.3621409876762
Local_search_WFS_Execution_time_sharing_equal_HSHD.csv,1441.6882973917232
