Algorithm,Execution_time_500_1,Execution_time_500_2,Execution_time_500_3,Average,std
online_sharing_BFS_Execution_time_sharing_alpha_LSLD.csv,1519.9913,1332.679,1346.2821,1399.6508,104.4396382
online_sharing_BFS_Execution_time_sharing_alpha_LSMD.csv,1469.0911,1122.2055,1426.6098,1339.302133,189.2072313
online_sharing_BFS_Execution_time_sharing_alpha_LSHD.csv,1060.214,1071.9142,1137.8492,1089.992467,41.85598958
online_sharing_BFS_Execution_time_sharing_alpha_MSLD.csv,1054.2015,1037.2741,1484.7524,1192.076,253.6064679
online_sharing_BFS_Execution_time_sharing_alpha_MSMD.csv,1091.4454,1056.4757,1336.8574,1161.592833,152.7873399
online_sharing_BFS_Execution_time_sharing_alpha_MSHD.csv,1089.4015,1037.7999,1458.0996,1195.100333,229.2207276
online_sharing_BFS_Execution_time_sharing_alpha_HSLD.csv,1057.0873,1566.9272,1440.2384,1354.750967,265.4529278
online_sharing_BFS_Execution_time_sharing_alpha_HSMD.csv,1063.7592,1484.1878,1678.2818,1408.742933,314.1312662
online_sharing_BFS_Execution_time_sharing_alpha_HSHD.csv,1160.5842,1447.9818,1450.1041,1352.890033,166.5451176
online_sharing_BFS_Execution_time_sharing_beta_LSLD.csv,1283.7263,1278.4718,1371.8967,1311.364933,52.48784168
online_sharing_BFS_Execution_time_sharing_beta_LSMD.csv,1092.813,1022.994,1122.9572,1079.588067,51.27703662
online_sharing_BFS_Execution_time_sharing_beta_LSHD.csv,1082.4273,1001.5018,1135.5686,1073.1659,67.51153133
online_sharing_BFS_Execution_time_sharing_beta_MSLD.csv,1413.0873,1078.6144,1175.6545,1222.452067,172.0771321
online_sharing_BFS_Execution_time_sharing_beta_MSMD.csv,1204.1034,1217.8089,1122.3202,1181.410833,51.63077952
online_sharing_BFS_Execution_time_sharing_beta_MSHD.csv,1133.5011,1058.2605,1236.1816,1142.647733,89.31251386
online_sharing_BFS_Execution_time_sharing_beta_HSLD.csv,1411.9622,1175.8561,1385.4509,1324.423067,129.3438052
online_sharing_BFS_Execution_time_sharing_beta_HSMD.csv,1352.3305,1212.4419,1566.0924,1376.954933,178.1065442
