Algorithm,Average,std
online_sharing_FFS_Execution_time_sharing_LSLD.csv,1475.468565,70.64703543
online_sharing_FFS_Execution_time_sharing_LSMD.csv,1200.631286,67.7927307
online_sharing_FFS_Execution_time_sharing_LSHD.csv,1238.750533,63.38955745
online_sharing_FFS_Execution_time_sharing_MSLD.csv,1448.876543,42.49448151
online_sharing_FFS_Execution_time_sharing_MSMD.csv,1385.484416,164.848222
online_sharing_FFS_Execution_time_sharing_MSHD.csv,1471.731262,203.6113727
online_sharing_FFS_Execution_time_sharing_HSLD.csv,1563.231981,257.549293
online_sharing_FFS_Execution_time_sharing_HSMD.csv,1448.485407,119.9660401
online_sharing_FFS_Execution_time_sharing_HSHD.csv,1521.444385,132.2645462
online_sharing_BFS_Execution_time_sharing_equal_LSLD.csv,1410.946707,76.15138488
online_sharing_BFS_Execution_time_sharing_equal_LSMD.csv,1303.20951,111.0109613
online_sharing_BFS_Execution_time_sharing_equal_LSHD.csv,1265.465226,236.9843177
online_sharing_BFS_Execution_time_sharing_equal_MSLD.csv,1463.028693,134.1748904
online_sharing_BFS_Execution_time_sharing_equal_MSMD.csv,1438.433668,106.4645158
online_sharing_BFS_Execution_time_sharing_equal_MSHD.csv,1385.515584,159.0981977
online_sharing_BFS_Execution_time_sharing_equal_HSLD.csv,1628.270675,116.562862
online_sharing_BFS_Execution_time_sharing_equal_HSMD.csv,1587.169029,151.3055891
online_sharing_BFS_Execution_time_sharing_equal_HSHD.csv,1710.285826,66.12426917
online_sharing_WFS_Execution_time_sharing_equal_LSLD.csv,1428.812791,120.2760208
online_sharing_WFS_Execution_time_sharing_equal_LSMD.csv,1197.50186,31.61936346
online_sharing_WFS_Execution_time_sharing_equal_LSHD.csv,1226.24784,24.7170459
online_sharing_WFS_Execution_time_sharing_equal_MSLD.csv,1511.28274,181.3580344
online_sharing_WFS_Execution_time_sharing_equal_MSMD.csv,1387.379662,168.0934328
online_sharing_WFS_Execution_time_sharing_equal_MSHD.csv,1613.95757,285.0570483
online_sharing_WFS_Execution_time_sharing_equal_HSLD.csv,1675.624358,375.7345263
online_sharing_WFS_Execution_time_sharing_equal_HSMD.csv,1762.395807,157.3161866
online_sharing_WFS_Execution_time_sharing_equal_HSHD.csv,1675.499759,139.1911253
